Reference;DistributionStatus;wdDistributionStatusCountryCode;CountryOrigin;wdCountryOriginCountryCode;NotificationFrom;wdNotificationFromCountryCode;DateOfCase;LastUpdate;Classifications;ActionTaken;Product;ProductCategory;RiskDecision;HazardSubstance;HazardAnalyticalResult;HazardUnits;HazardSamplingDate;Subject.description,,,,,,,,
2000.HV;Belgium;Q31;France;Q142;Belgium;Q31;22/08/2000;;Food  -  information  -;;paraffinic oil;fats and oils;undecided;illegal trade;;;;illegal trade of paraffinic oil,,,,,,,,
2007.BYL;Belgium;Q31;Ghana;Q117;Belgium;Q31;17/08/2007;22/08/2007;food  -  information  -  border control - consignment detained;destruction;various products of animal origin;other food product / mixed;undecided;attempt to illegally import;;;;attempt to illegally import various products of animal origin from Ghana,,,,,,,,
2011.CPE;Belgium;Q31;Japan;Q17;Belgium;Q31;07/12/2011;12/09/2012;food  -  border rejection  -  border control - consignment detained;return to consignor;vegetable juice;non-alcoholic beverages;undecided;absence of certified analytical report;;;;absence of certified analytical report for vegetable juice from Japan,,,,,,,,
2011.COF;Belgium;Q31;Japan;Q17;Belgium;Q31;02/12/2011;02/12/2011;food  -  border rejection  -  border control - consignment detained;return to consignor;organic tea;cocoa and cocoa preparations, coffee and tea;undecided;improper import declaration;impossible to link the declaration to the consignment;;;improper import declaration (impossible to link the declaration to the consignment) for organic tea from Japan,,,,,,,
2011.CSU;Belgium;Q31;Japan;Q17;Belgium;Q31;23/12/2011;23/12/2011;food  -  border rejection  -  border control - consignment detained;re-dispatch;natural mineral water;natural mineral water;undecided;missing import declaration;;;;missing import declaration for natural mineral water from Japan,,,,,,,,
20.182.756;Belgium;Q31;Ecuador;Q736;Belgium;Q31;02/10/2018;03/10/2018;food  -  border rejection  -  border control - consignment detained;destruction;frozen squid (Dosidicus gigas);cephalopods and products thereof;not serious;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen squid (Dosidicus gigas) from Ecuador,,,,,,,,
2007.BYM;Belgium;Q31;Thailand;Q869;Belgium;Q31;17/08/2007;05/01/2009;food  -  information  -  border control - consignment detained;destruction;various products of animal origin;other food product / mixed;undecided;attempt to illegally import;;;;attempt to illegally import various products of animal origin from Thailand,,,,,,,,
2009.BNV;Belgium;Q31;Turkey;Q43;Belgium;Q31;25/08/2009;12/01/2018;food  -  border rejection  -  border control - consignment detained;official detention;hazelnuts;nuts, nut products and seeds;undecided;improper health certificate(s);;;;improper health certificate(s) for hazelnuts from Turkey,,,,,,,
2012.AGB;Belgium;Q31;Democratic Republic of the Congo;Q974;Belgium;Q31;25/01/2012;01/02/2012;food  -  border rejection  -  border control - consignment detained;destruction;palm oil;fats and oils;undecided;suspicion of fraud;;;;suspicion of fraud in relation to palm oil from the Democratic Republic of the Congo,,,,,,,,
2007.AFB;Belgium;Q31;Turkey;Q43;Belgium;Q31;25/01/2007;12/01/2018;food  -  information  -  border control - consignment detained;re-dispatch;hazelnut kernels;nuts, nut products and seeds;undecided;improper health certificate(s);health certificate does not correspond with analytical report;;;improper health certificate(s) (health certificate does not correspond with analytical report) for hazelnut kernels from Turkey,,,,,,,
20.182.838;Belgium;Q31;Ecuador;Q736;Belgium;Q31;09/10/2018;09/10/2018;food  -  border rejection  -  border control - consignment detained;destruction;frozen hake (Merluccius gayi);fish and fish products;not serious;fraudulent health certificate(s);number of the establishment does not match the one on the label;;;fraudulent health certificate(s) (number of the establishment does not match the one on the label) for frozen hake (Merluccius gayi) from Ecuador,,,,,,,,
2011.AXT;Belgium;Q31;Turkey;Q43;Belgium;Q31;21/04/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;(obsolete);dried figs;fruits and vegetables;undecided;improper health certificate(s);validity and certification date are incorrect;;;improper health certificate(s) (validity and certification date are incorrect) for dried figs from Turkey,,,,,,,,
2009.BLF;Belgium;Q31;Turkey;Q43;Belgium;Q31;07/08/2009;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;pistachios;nuts, nut products and seeds;undecided;improper health certificate(s);;;;improper health certificate(s) for pistachios from Tajikistan, dispatched from Turkey,,,,,,
2010.CCA;Bulgaria;Q219;Turkey;Q43;Bulgaria;Q219;23/11/2010;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;dried figs;fruits and vegetables;undecided;improper health certificate(s);identification code on each packaging not corresponding with the code in the health certificate;;;improper health certificate(s) (identification code on each packaging not corresponding with the code in the health certificate) for dried figs from Turkey,,,,,,,,
2014.AEA;Bulgaria;Q219;Iran;Q794;Bulgaria;Q219;23/01/2014;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;pistachio nuts;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for pistachio nuts from Iran,,,,,,,
2009.BSL;Bulgaria;Q219;Vietnam;Q881;Bulgaria;Q219;29/09/2009;13/10/2009;food  -  border rejection  -  border control - consignment detained;re-dispatch;pangasius fillets;fish and fish products;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for pangasius fillets from Vietnam,,,,,,,,
2015.AFK;Bulgaria;Q219;Egypt;Q79;Bulgaria;Q219;03/02/2015;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;groundnuts;nuts, nut products and seeds;not serious;improper health certificate(s);;;;improper health certificate(s) for groundnuts from Egypt,,,,,,,
20.100.193;Bulgaria;Q219;Greece;Q41;Bulgaria;Q219;17/02/2010;08/03/2010;food  -  information  -  official control on the market;destruction;frozen pork tongues;meat and meat products (other than poultry);undecided;suspicion of fraud;;;;absence of health mark on and suspicion of fraud in relation to frozen pork tongues dispatched from Greece,,,,,,,,
2017.API;Czech Republic;Q213;Nigeria;Q1033;Czech Republic;Q213;06/04/2017;31/05/2018;food  -  border rejection  -  border control - consignment detained;destruction;dried fish;fish and fish products;not serious;attempt to illegally import;;;;attempt to illegally import dried fish from Nigeria,,,,,,,,
20.180.406;Denmark;Q35;India;Q668;Denmark;Q35;15/02/2018;05/04/2018;food  -  border rejection  -  border control - consignment detained;destruction;nutmeg;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for nutmeg from India,,,,,,,,
20.191.357;Denmark;Q35;Turkey;Q43;Denmark;Q35;10/04/2019;10/04/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;fig marmalade;confectionery;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for fig marmalade from Turkey,,,,,,,,
20.161.677;Denmark;Q35;India;Q668;Denmark;Q35;02/12/2016;31/05/2017;food  -  information for attention  -  official control on the market;destruction;crushed chilli and chilli powder;herbs and spices;not serious;improper certified analytical report;;;;absence of health certificate(s) and improper certified analytical report for crushed chilli and chilli powder from India,,,,,,,,
2012.CAJ;Denmark;Q35;Iran;Q794;Denmark;Q35;15/10/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;pistachio kernels;nuts, nut products and seeds;not serious;absence of health certificate(s);absence;;12/09/2012;absence of health certificate(s) (absence) for pistachio kernels from Iran,,,,,,,
2011.ANO;Denmark;Q35;Brazil;Q155;Denmark;Q35;09/03/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;(obsolete);chilled beef;meat and meat products (other than poultry);undecided;improper health certificate(s);;;;improper health certificate(s) for chilled beef from Brazil,,,,,,,,
20.110.184;Denmark;Q35;Thailand;Q869;Denmark;Q35;14/02/2011;22/03/2011;food  -  information for follow-up  -  official control on the market;withdrawal from the market;fresh herbs and vegetables;fruits and vegetables;undecided;attempt to illegally import;;;11/02/2011;attempt to illegally import fresh herbs and vegetables from Thailand, via Sweden,,,,,,,
1985.02;Denmark;Q35;United Kingdom;Q145;Denmark;Q35;08/07/1985;19/12/2007;Food  -  alert  -;;Bars;cocoa and cocoa preparations, coffee and tea;undecided;tampering;in Japan, France and the United Kingdom;;;tampering (in Japan, France and the United Kingdom) with Bars from France,  the United Kingdom and Japan,,,,
20.130.244;Denmark;Q35;Hungary;Q28;Denmark;Q35;25/02/2013;03/04/2013;food  -  information for follow-up  -  company's own check;withdrawal from the market;lasagne bolognese;prepared dishes and snacks;not serious;adulteration;>50% horse DNA;;01/01/1970;adulteration (>50% horse DNA) of lasagne bolognese from Hungary,,,,,,,,
2017.BCH;Denmark;Q35;Turkey;Q43;Denmark;Q35;16/06/2017;16/06/2017;food  -  border rejection  -  border control - consignment detained;destruction;fig preserves;fruits and vegetables;not serious;absence of certified analytical report;;;;absence of certified analytical report for fig preserves from Turkey,,,,,,,,
2011.CJB;Denmark;Q35;Iceland;Q189;Denmark;Q35;14/11/2011;12/01/2018;feed  -  border rejection  -  border control - consignment detained;re-dispatch;frozen lamb lungs and tripes for petfood;feed materials;undecided;improper health certificate(s);labeling does not comply with the information in the health certificate;;;improper health certificate(s) (labeling does not comply with the information in the health certificate) for frozen lamb lungs and tripes for petfood from Iceland,,,,,,,,
20.180.401;Denmark;Q35;India;Q668;Denmark;Q35;15/02/2018;05/04/2018;food  -  border rejection  -  border control - consignment detained;destruction;dried chilli;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for dried chilli from India,,,,,,,,
20.130.424;Estonia;Q191;Poland;Q36;Estonia;Q191;25/03/2013;13/05/2013;food  -  information for follow-up  -  official control on the market;withdrawal from the market;stewed beef;meat and meat products (other than poultry);not serious;adulteration;presence of horse DNA: 100;%;04/03/2013;adulteration (presence of horse DNA: 100 %) of stewed beef from Latvia, with raw material from Poland,,,,,,,
20.131.389;Finland;Q33;Poland;Q36;Finland;Q33;18/10/2013;26/11/2013;feed  -  information for attention  -  official control on the market;official detention;fish meal;feed materials;not serious;adulteration;;;04/10/2013;adulteration of fish meal from Morocco, via Latvia, via the Czech Republic and via Poland,,,,,,
2.012.171;Finland;Q33;Vietnam;Q881;Finland;Q33;12/12/2012;16/01/2013;food  -  information for follow-up  -  official control on the market;destruction;dried pork skin;meat and meat products (other than poultry);not serious;unauthorised import;;;;unauthorised import of dried pork skin from Vietnam, via Sweden,,,,,,,
2015.BHE;France;Q142;India;Q668;France;Q142;06/08/2015;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;nut crackers;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for nut crackers from India,,,,,,,
2016.AMK;France;Q142;Turkey;Q43;France;Q142;01/04/2016;12/01/2018;food  -  border rejection  -  border control - consignment under customs;re-dispatch;diced dried figs;fruits and vegetables;not serious;improper health certificate(s);;;;improper health certificate(s) for diced dried figs from Turkey,,,,,,,,
20.191.738;France;Q142;India;Q668;France;Q142;09/05/2019;03/06/2019;food  -  border rejection  -  border control - consignment detained;destruction;sesame seeds;nuts, nut products and seeds;serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for sesame seeds from India,,,,,,,
2011.BIL;France;Q142;Turkey;Q43;France;Q142;17/06/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;placed under customs seals;fig paste;fruits and vegetables;undecided;improper health certificate(s);identification code on each packaging not corresponding with the code in the health certificate;;;improper health certificate(s) (identification code on each packaging not corresponding with the code in the health certificate) for fig paste from Turkey,,,,,,,,
2012.AUP;France;Q142;Turkey;Q43;France;Q142;06/04/2012;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;dried organic figs;fruits and vegetables;undecided;improper health certificate(s);;;13/03/2012;improper health certificate(s) for dried organic figs from Turkey,,,,,,,,
2016.BAO;France;Q142;Indonesia;Q252;France;Q142;22/07/2016;22/07/2016;food  -  border rejection  -  border control - consignment detained;return to consignor;whole nutmeg;herbs and spices;not serious;improper certified analytical report;;;;improper certified analytical report for whole nutmeg from Indonesia,,,,,,,,
2016.BAI;France;Q142;Iran;Q794;France;Q142;21/07/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;pistachios;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for pistachios from Iran,,,,,,,
20.181.324;France;Q142;Turkey;Q43;France;Q142;14/05/2018;07/06/2018;food  -  border rejection  -  border control - consignment detained;return to consignor;dried figs;fruits and vegetables;not serious;improper health certificate(s);health certificate signed before the analysis was performed;;;improper health certificate(s) (health certificate signed before the analysis was performed) for dried figs from Turkey,,,,,,,,
20.190.378;France;Q142;Iran;Q794;France;Q142;01/02/2019;20/02/2019;food  -  border rejection  -  border control - consignment detained;return to consignor;pistachios;nuts, nut products and seeds;not serious;improper health certificate(s);;;;improper health certificate(s), not signed by competent authority, for pistachios from Iran,,,,,
2015.AYR;France;Q142;Turkey;Q43;France;Q142;03/06/2015;10/06/2015;food  -  border rejection  -  border control - consignment under customs;re-dispatch;refined hazelnut oil;nuts, nut products and seeds;not serious;fraudulent health certificate(s);dated after the arrival to the BIP;;18/04/2015;fraudulent health certificate(s) (dated after the arrival to the BIP) for refined hazelnut oil from Turkey,,,,,,,
20.130.603;France;Q142;Poland;Q36;Poland;Q36;29/04/2013;13/05/2013;food  -  alert  -  official control on the market;withdrawal from the market;frozen smoked salmon products;fish and fish products;serious;fraud - expiry dates changed;;;;fraud - expiry dates changed of frozen smoked salmon products from Poland,,,,,,,,
2017.ASU;France;Q142;Iran;Q794;France;Q142;26/04/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;return to consignor;pistachio powder;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for pistachio powder from Iran,,,,,,,
20.181.908;France;Q142;India;Q668;France;Q142;09/07/2018;24/09/2018;food  -  border rejection  -  border control - consignment detained;destruction;chillies;herbs and spices;not serious;improper health certificate(s);the lot numbers mentioned on the health certificate and the analytical report attached to the health certificate do not match;;;improper health certificate(s) (the lot numbers mentioned on the health certificate and the analytical report attached to the health certificate do not match) and certified analytical report for chillies from India,,,,,,,,
20.182.723;France;Q142;Argentina;Q414;France;Q142;28/09/2018;28/09/2018;food  -  border rejection  -  border control - consignment detained;return to consignor;peanut paste;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for peanut paste from Argentina,,,,,,,
1987.07;France;Q142;Spain;Q29;France;Q142;24/04/1987;19/12/2007;Food  -  alert  -;;canned asparagus;fruits and vegetables;undecided;illegal trade;;;;illegal trade of canned asparagus from Spain,,,,,,,,
2016.BAX;France;Q142;India;Q668;France;Q142;28/07/2016;12/01/2018;food  -  border rejection  -  border control - consignment detained;destruction;organic shelled nutmeg;herbs and spices;not serious;improper health certificate(s);;;;improper health certificate(s) for organic shelled nutmeg from India,,,,,,,,
2016.APE;France;Q142;Turkey;Q43;France;Q142;25/04/2016;25/04/2016;food  -  border rejection  -  border control - consignment detained;;organic pistachios in shell;nuts, nut products and seeds;not serious;expired health certificate(s);;;;expired health certificate(s) for organic pistachios in shell from Turkey,,,,,,,
2017.ATM;France;Q142;Ethiopia;Q115;France;Q142;28/04/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;ginger powder;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for ginger powder from Ethiopia,,,,,,,,
2017.ATL;France;Q142;Ethiopia;Q115;France;Q142;28/04/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;long peppers;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for long peppers from Ethiopia,,,,,,,,
20.181.242;France;Q142;Turkey;Q43;France;Q142;07/05/2018;05/06/2018;food  -  border rejection  -  border control - consignment detained;return to consignor;dried figs;fruits and vegetables;not serious;improper health certificate(s);signed before date of laboratory report;;;improper health certificate(s) (signed before date of laboratory report) for dried figs from Turkey,,,,,,,,
20.181.318;France;Q142;Turkey;Q43;France;Q142;14/05/2018;07/06/2018;food  -  border rejection  -  border control - consignment detained;return to consignor;diced dried figs;fruits and vegetables;not serious;improper health certificate(s);signed before reception of analytical report;;;improper health certificate(s) (signed before reception of analytical report) for diced dried figs from Turkey,,,,,,,,
2011.AUY;France;Q142;Turkey;Q43;France;Q142;13/04/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;destruction;fig jam;fruits and vegetables;undecided;improper health certificate(s);;;;improper health certificate(s) for fig jam from Turkey,,,,,,,,
20.090.166;France;Q142;Belgium;Q31;France;Q142;10/02/2009;11/01/2010;food  -  information  -  official control on the market;;raw minced beef;meat and meat products (other than poultry);undecided;fraudulent use of health mark;;;;fraudulent use of health mark for raw minced beef from Belgium,,,,,,,,
20.130.327;France;Q142;Italy;Q38;Italy;Q38;08/03/2013;15/05/2013;food  -  information for follow-up  -  official control on the market;re-dispatch;tortelloni;prepared dishes and snacks;not serious;adulteration;unlabelled horse DNA >1;%;;adulteration (unlabelled horse DNA >1 %) of tortelloni from Italy,,,,,,,,
2011.AUZ;France;Q142;Turkey;Q43;France;Q142;13/04/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;hazelnut kernels;nuts, nut products and seeds;undecided;improper health certificate(s);;;;improper health certificate(s) for hazelnut kernels from Turkey,,,,,,,
20.182.722;France;Q142;Argentina;Q414;France;Q142;28/09/2018;28/09/2018;food  -  border rejection  -  border control - consignment detained;return to consignor;peanut paste;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for peanut paste from Argentina,,,,,,,
2011.ALO;France;Q142;Turkey;Q43;France;Q142;25/02/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;placed under customs seals;dried figs;fruits and vegetables;undecided;improper health certificate(s);;;;improper health certificate(s) for dried figs from Turkey,,,,,,,,
20.191.771;France;Q142;India;Q668;France;Q142;13/05/2019;19/07/2019;food  -  border rejection  -  border control - consignment detained;return to consignor;shelled nutmeg;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for shelled nutmeg from India,,,,,,,,
20.110.603;France;Q142;Italy;Q38;France;Q142;09/05/2011;17/05/2011;food  -  alert  -  consumer complaint;withdrawal from the market;moussaka;prepared dishes and snacks;undecided;tampering;acidic substance and piece of paper inserted;;;tampering (acidic substance and piece of paper inserted) with moussaka from Italy,,,,,,,,
2011.BIQ;France;Q142;Turkey;Q43;France;Q142;20/06/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;official detention;pistachio kernels;nuts, nut products and seeds;undecided;improper health certificate(s);results of second analysis are missing;;;improper health certificate(s) (results of second analysis are missing) for pistachio kernels from Turkey,,,,,,,
2017.ATF;France;Q142;Ethiopia;Q115;France;Q142;28/04/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;turmeric powder;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for turmeric powder from Ethiopia,,,,,,,,
2017.ATG;France;Q142;Ethiopia;Q115;France;Q142;28/04/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;black pepper;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for black pepper from Ethiopia,,,,,,,,
2012.ARO;France;Q142;Turkey;Q43;France;Q142;22/03/2012;12/01/2018;food  -  border rejection  -  border control - consignment detained;import not authorised;organic ground hazelnut meal;nuts, nut products and seeds;undecided;improper health certificate(s);;;27/02/2012;improper health certificate(s) for organic ground hazelnut meal from Turkey,,,,,,,
2011.AXM;France;Q142;Guinea;Q1006;France;Q142;20/04/2011;26/04/2011;food  -  border rejection  -  border control - consignment detained;re-dispatch;palm oil;fats and oils;undecided;suspicion of fraud;honey improper for human consumption labelled as palm oil;;20/12/2010;suspicion of fraud (honey improper for human consumption labelled as palm oil) in relation to palm oil from Guinea,,,,,,,,
2011.AVA;France;Q142;Turkey;Q43;France;Q142;13/04/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;hazelnut kernels;nuts, nut products and seeds;undecided;improper health certificate(s);;;;improper health certificate(s) for hazelnut kernels from Turkey,,,,,,,
20.100.303;France;Q142;Vietnam;Q881;France;Q142;10/03/2010;18/03/2010;food  -  information  -  official control on the market;destruction;shrimps;crustaceans and products thereof;undecided;unauthorised import;;;;unauthorised import of shrimps from Vietnam, via Belgium,,,,,,,
2011.AVD;France;Q142;Turkey;Q43;France;Q142;13/04/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;placed under customs seals;slightly roasted blanched hazelnuts;nuts, nut products and seeds;undecided;improper health certificate(s);;;;improper health certificate(s) for slightly roasted blanched hazelnuts from Turkey,,,,,,,
2011.CMP;France;Q142;Egypt;Q79;France;Q142;29/11/2011;31/05/2017;food  -  border rejection  -  border control - consignment detained;official detention;caramelized peanuts;nuts, nut products and seeds;undecided;absence of health certificate(s);;;;absence of health certificate(s) for caramelized peanuts from Egypt,,,,,,,
2011.BSX;France;Q142;Turkey;Q43;France;Q142;26/08/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;official detention;fig jam;fruits and vegetables;undecided;improper health certificate(s);;;;improper health certificate(s) for fig jam from Turkey,,,,,,,,
2014.ANI;France;Q142;Turkey;Q43;France;Q142;25/03/2014;25/03/2014;food  -  border rejection  -  border control - consignment detained;placed under customs seals;organic dried figs;fruits and vegetables;not serious;expired health certificate(s);;;10/03/2014;expired health certificate(s) for organic dried figs from Turkey,,,,,,,,
2017.ATO;France;Q142;Ethiopia;Q115;France;Q142;28/04/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;fenugreek;fruits and vegetables;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for fenugreek from Ethiopia,,,,,,,,
2013.ACG;France;Q142;Turkey;Q43;France;Q142;10/01/2013;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;dried figs;fruits and vegetables;not serious;absence of health certificate(s);;;;absence of health certificate(s) for dried figs from Turkey,,,,,,,,
20.100.945;France;Q142;Lithuania;Q37;France;Q142;12/07/2010;26/07/2010;food  -  information  -  official control on the market;recall from consumers;snails of Bourgogne;gastropods;undecided;suspicion of fraudulent use of health mark;;;;suspicion of fraudulent use of health mark for snails of Bourgogne from Lithuania,,,,,,,,
2011.BIV;France;Q142;Turkey;Q43;France;Q142;23/06/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;whole roasted hazelnuts;nuts, nut products and seeds;undecided;improper health certificate(s);results of second analyses are missing;;;improper health certificate(s) (results of second analyses are missing) for whole roasted hazelnuts from Turkey,,,,,,,
2011.ALN;France;Q142;Turkey;Q43;France;Q142;25/02/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;official detention;fig jam;confectionery;undecided;improper health certificate(s);;;;improper health certificate(s) for fig jam from Turkey,,,,,,,,
20.060.155;France;Q142;United Kingdom;Q145;United Kingdom;Q145;07/03/2006;;food  -  alert  -  official control on the market;;meat burgers;meat and meat products (other than poultry);undecided;illegal trade;;;;illegal trade of meat burgers from the United Kingdom,,,,,,,,
1988.14;France;Q142;Israel;Q801;France;Q142;09/06/1988;;Food  -  alert  -;;Citrus fruits;fruits and vegetables;undecided;poison - extortion;;;;poison - extortion with Citrus fruits,,,,,,,,
2.018.008;Georgia;Q230;Azerbaijan;Q227;France;Q142;11/01/2018;29/01/2018;food  -  border rejection  -  border control - consignment detained;return to consignor;hazelnut kernels;nuts, nut products and seeds;not serious;improper health certificate(s);;;;improper health certificate(s) and certified analytical report for hazelnut kernels from Azerbaijan, via Georgia,,,,,,
2009.AXA;Germany;Q183;Turkey;Q43;Germany;Q183;06/05/2009;12/05/2009;food  -  border rejection  -  border control - consignment detained;re-dispatch;pistachio kernels;nuts, nut products and seeds;undecided;expired health certificate(s);;;;expired health certificate(s) for pistachio kernels from Turkey,,,,,,,
